record_uid,source_row,site_id,issue_type,severity,original_value,proposed_action,rationale,review_status
REC0142,143,AA2017_149,SITE_ID_DUPLICATE_DOCUMENTED,Review,AA2017_149,Retain both records; do not deduplicate automatically,The source NOTES state that AA2017_149 is duplicated because the video transitions across different habitats.,Pending
REC0142,143,AA2017_149,INDEX_FID_MISMATCH,Review,index=141; FID=142,Retain source values; verify against authoritative GIS source if operational use is intended,Only the two AA2017_149 records have source index and FID swapped.,Pending
REC0142,143,AA2017_149,PROJECTED_COORDINATE_MISMATCH,Review,E=-7238336.198; N=2062304.46; difference=25.27 m,"Use WGS84 lat/lon as authoritative point for mapping; expected EPSG:3857 E=-7238338.130, N=2062279.263",EPSG:3857 coordinates recomputed from source longitude/latitude differ by >5 m. Both affected records are AA2017_149 and appear cross-swapped.,Pending
REC0143,144,AA2017_149,SITE_ID_DUPLICATE_DOCUMENTED,Review,AA2017_149,Retain both records; do not deduplicate automatically,The source NOTES state that AA2017_149 is duplicated because the video transitions across different habitats.,Pending
REC0143,144,AA2017_149,INDEX_FID_MISMATCH,Review,index=142; FID=141,Retain source values; verify against authoritative GIS source if operational use is intended,Only the two AA2017_149 records have source index and FID swapped.,Pending
REC0143,144,AA2017_149,PROJECTED_COORDINATE_MISMATCH,Review,E=-7238338.13; N=2062279.263; difference=25.27 m,"Use WGS84 lat/lon as authoritative point for mapping; expected EPSG:3857 E=-7238336.198, N=2062304.460",EPSG:3857 coordinates recomputed from source longitude/latitude differ by >5 m. Both affected records are AA2017_149 and appear cross-swapped.,Pending
REC0633,634,GV2011_265,UNKNOWN_CLASS_PRESENT,Review,UNKNOWN=Present,Review the linked video/metadata before assigning a definitive class,Source notes: camera never reached the bottom,Pending
REC0633,634,GV2011_265,NO_CORE_SUBSTRATE_PRESENT,Review,CORAL REEF/PAVEMENT/RHODOLITH/SAND all Absent,Review source video/notes; do not invent a substrate class,Source notes: camera never reached the bottom,Pending
REC0633,634,GV2011_265,VIDEO_USABILITY_NOTE,Review,camera never reached the bottom,Treat habitat interpretation as requiring expert/source review,The source note explicitly states that the camera did not reach bottom or that no underwater video exists.,Pending
REC0640,641,GV2011_273,UNKNOWN_CLASS_PRESENT,Review,UNKNOWN=Present,Review the linked video/metadata before assigning a definitive class,Source notes: No Underwater Video,Pending
REC0640,641,GV2011_273,NO_CORE_SUBSTRATE_PRESENT,Review,CORAL REEF/PAVEMENT/RHODOLITH/SAND all Absent,Review source video/notes; do not invent a substrate class,Source notes: No Underwater Video,Pending
REC0640,641,GV2011_273,VIDEO_USABILITY_NOTE,Review,No Underwater Video,Treat habitat interpretation as requiring expert/source review,The source note explicitly states that the camera did not reach bottom or that no underwater video exists.,Pending
REC0659,660,GV2011_308,NO_CORE_SUBSTRATE_PRESENT,Review,CORAL REEF/PAVEMENT/RHODOLITH/SAND all Absent,Review source video/notes; do not invent a substrate class,"Source notes: Site 308 and 269 combined into one video, using orignal annotation from site 269",Pending
REC0940,941,GV2016_303,UNKNOWN_CLASS_PRESENT,Review,UNKNOWN=Present,Review the linked video/metadata before assigning a definitive class,Source notes: [none],Pending
