metric,value,unit_or_note
total_records,1353,records
pass_records,1347,records
review_records,6,records
critical_records,0,records
ground_validation_records,1005,records
accuracy_assessment_records,348,records
mean_depth_m,40.731,m
min_depth_m,21.318,m
max_depth_m,74.247,m
coral_reef_present_count,461,records
coral_reef_present_percent,34.072,percent
pavement_present_count,216,records
pavement_present_percent,15.965,percent
rhodolith_present_count,751,records
rhodolith_present_percent,55.506,percent
sand_present_count,555,records
sand_present_percent,41.02,percent
hard_coral_present_count,688,records
hard_coral_present_percent,50.85,percent
soft_coral_present_count,220,records
soft_coral_present_percent,16.26,percent
macroalgae_present_count,1229,records
macroalgae_present_percent,90.835,percent
sponge_present_count,1170,records
sponge_present_percent,86.475,percent
seagrass_present_count,13,records
seagrass_present_percent,0.961,percent
artificial_present_count,15,records
artificial_present_percent,1.109,percent
unknown_present_count,3,records
unknown_present_percent,0.222,percent
