record_uid,site_id,geographic_region,site_type,site_type_label,date_collected,survey_year,latitude,longitude,depth_m_abs,coral_reef_present,pavement_present,rhodolith_present,sand_present,hard_coral_present,soft_coral_present,macroalgae_present,sponge_present,seagrass_present,artificial_present,unknown_present,qa_status,qa_reason,url_link
REC0001,AA2017_001,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.14177272,-65.26049206,29.57,0,0,1,0,0,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_001.mp4
REC0002,AA2017_002,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.17255858,-65.25986648,28.85,0,1,1,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_002.mp4
REC0003,AA2017_003,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.16452229,-65.25818119,29.08,0,1,1,0,0,0,0,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_003.mp4
REC0004,AA2017_004,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.15550778,-65.25778421,28.077,0,1,0,0,1,0,0,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_004.mp4
REC0005,AA2017_005,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.14139594,-65.2525359,32.72,0,0,1,0,0,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_005.mp4
REC0006,AA2017_006,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.15623382,-65.24683227,30.781,0,1,1,0,0,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_006.mp4
REC0007,AA2017_007,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.15043189,-65.24499807,34.002,0,0,1,0,0,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_007.mp4
REC0008,AA2017_008,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.12015293,-65.23386329,74.247,0,1,1,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_008.mp4
REC0009,AA2017_009,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.12756251,-65.23479692,42.858,0,0,1,0,0,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_009.mp4
REC0010,AA2017_010,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.16118431,-65.23693544,36.081,0,0,1,1,0,0,0,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_010.mp4
REC0011,AA2017_011,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.1228048,-65.21644426,39.855,0,0,1,0,0,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_011.mp4
REC0012,AA2017_012,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.13932323,-65.22984757,37.571,0,0,1,0,0,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_012.mp4
REC0013,AA2017_013,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.17067079,-65.22774152,34.273,1,0,0,1,1,0,0,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_013.mp4
REC0014,AA2017_014,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.13236683,-65.22536209,40.832,0,0,1,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_014.mp4
REC0015,AA2017_015,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.17465637,-65.22099917,34.706,1,0,0,1,1,0,0,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_015.mp4
REC0016,AA2017_016,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.13226984,-65.21710906,38.991,0,0,1,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_016.mp4
REC0017,AA2017_017,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.18085906,-65.21591735,33.76,1,0,0,1,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_017.mp4
REC0018,AA2017_018,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.19724497,-65.21613909,34.933,1,0,0,1,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_018.mp4
REC0019,AA2017_019,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.17374176,-65.21544807,41.699,0,0,1,1,0,0,0,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_019.mp4
